中视闽南频道[1280x720],rtmp://f13h.mine.nu/sat/tv091
中视1[1280x720],rtmp://f13h.mine.nu:1935/sat/tv091
中视2[1280x720],rtmp://9hv9.mine.nu/sat/tv091
中视3[1280x720],rtmp://60.248.77.83/sat/tv091
中视经典[960x540],http://ku9.3n.cc/smt.php?id=zhongshi_twn
中视闽南[960x540],http://ku9.3n.cc/smt.php?id=zhongshihd_twn
民视闽南频道[1280x720],rtmp://f13h.mine.nu/sat/tv051
民视闽南频道[1920x1080],http://37.27.111.214:8080/live/6/hls.m3u8
民视1[1280x720],rtmp://f13h.mine.nu:1935/sat/tv051
民视2[1280x720],rtmp://60.248.77.83/sat/tv051
民视3[1280x720],rtmp://9hv9.mine.nu/sat/tv051
民视闽南频道[960x540],http://ku9.3n.cc/smt.php?id=ftvhd_taiwan
民视台湾[960x540],http://ku9.3n.cc/smt.php?id=ftvtaiwan_twn
民视新闻[960x540],http://ku9.3n.cc/smt.php?id=ftvnew_taiwan
华视闽南频道1[1280x720],rtmp://f13h.mine.nu/sat/tv111
华视闽南频道2[1920x1080],http://37.27.111.214:8080/live/8/hls.m3u8
华视1[1280x720],rtmp://f13h.mine.nu:1935/sat/tv111
华视2[1280x720],rtmp://60.248.77.83/sat/tv111
华视3[1280x720],rtmp://9hv9.mine.nu/sat/tv111
华视闽南4[960x540],http://ku9.3n.cc/smt.php?id=ctshd_twn
台视闽南频道1[1920x1080],http://122.117.71.103:8504/台视闽南.m3u8
台视闽南频道2[1280x720],rtmp://f13h.mine.nu/sat/tv071
台视1[1280x720],rtmp://f13h.mine.nu:1935/sat/tv071
台视2[1280x720],rtmp://9hv9.mine.nu/sat/tv071
台视3[1280x720],rtmp://60.248.77.83/sat/tv071
纬来体育1[1280*720],rtmp://f13h.mine.nu:1935/sat/tv721
纬来体育2[1280*720],rtmp://f13h.mine.nu/sat/tv721
纬来体育3[1280*720],rtmp://f13h.mine.nu:1935/sat/tv721
纬来体育4[1280*720],rtmp://60.248.77.83/sat/tv721
